StreamName,MaxE2E(us),Deadline(us),Path
Stream_75,2867.2,13440,ES_38->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->ES_9
Stream_76,1131.0,14181,ES_38->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->ES_65
Stream_77,639.0,8853,ES_39->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->ES_23
Stream_78,596.8,1193,ES_39->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->ES_16
Stream_79,445.5,8176,ES_40->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->ES_19
Stream_80,1641.6,4508,ES_40->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->ES_26
Stream_81,5076.9,13711,ES_41->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->ES_5
Stream_82,2191.4,13268,ES_41->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->ES_87
Stream_83,1079.7,2557,ES_42->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->ES_85
Stream_84,1027.3,10418,ES_42->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->ES_53
Stream_85,5532.2,12483,ES_43->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->ES_6
Stream_86,143.7,8346,ES_43->Switch_15->Switch_14->ES_40
Stream_87,592.4,1433,ES_44->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->ES_56
Stream_88,598.6,9247,ES_44->Switch_15->Switch_14->ES_41
Stream_89,603.0,16230,ES_45->Switch_15->Switch_14->Switch_13->ES_37
Stream_90,135.5,9834,ES_45->Switch_15->Switch_16->Switch_17->Switch_18->ES_52
Stream_91,216.4,7103,ES_46->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->ES_67
Stream_92,200.7,4911,ES_46->Switch_16->Switch_17->Switch_18->ES_53
Stream_93,3052.5,4689,ES_47->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->ES_25
Stream_94,266.7,13332,ES_47->Switch_16->Switch_17->Switch_18->ES_54
Stream_95,557.1,7738,ES_48->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->ES_21
Stream_96,458.0,10155,ES_48->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->ES_29
Stream_97,1225.4,8717,ES_49->Switch_17->Switch_16->Switch_15->Switch_14->ES_42
Stream_98,890.6,13559,ES_49->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->ES_72
Stream_99,434.1,13668,ES_50->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->ES_66
Stream_100,1278.8,3747,ES_50->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->ES_85
Stream_101,245.2,6794,ES_51->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->ES_62
Stream_102,237.1,12442,ES_51->Switch_17->Switch_18->Switch_19->Switch_20->ES_60
Stream_103,2143.0,6077,ES_52->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->ES_10
Stream_104,1078.8,3479,ES_52->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->Switch_30->ES_89
Stream_105,308.3,1547,ES_53->Switch_18->Switch_17->ES_49
Stream_106,884.1,3187,ES_53->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->ES_35
Stream_107,670.3,16137,ES_54->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->ES_65
Stream_108,247.3,2724,ES_54->Switch_18->Switch_17->Switch_16->Switch_15->ES_45
Stream_109,1622.7,4957,ES_55->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->ES_26
Stream_110,950.4,1394,ES_55->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->ES_45
Stream_111,838.8,12812,ES_56->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->ES_73
Stream_112,3540.3,6118,ES_56->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->ES_12
Stream_113,2089.3,9592,ES_57->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->Switch_30->Switch_31->Switch_32->Switch_1->ES_3
Stream_114,6632.2,18728,ES_57->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->ES_14
Stream_115,2514.8,11682,ES_58->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->Switch_30->Switch_31->Switch_32->Switch_1->ES_2
